id,name
13178,MVP
13179,"Incidents & FRs (align with GP, mve to magento 1.0 release)"
13180,Magento 2.0 [1.0 code refactoring]
13181,Magento 1.0 [Mexico & Brasil Pilot]
13182,Brasil & Mexico Expansion
13183,LA Store Online 2.1
13184,Europe Pilot Greece Release 1
13185,DV integration Europe Release 1
13186,Store Online Release 2.2.
13187,Store Online Release 2.4
13188,Store Online Release 2.3
13189,DV Release 2.4
13190,Store Online Release 2.6
13191,Store Online Release 2.5
13192,Store Online Release 2.10 PGC EU
13193,Store Online Release 2.7.
13194,Store Online DV Release 2.9
13195,Store Online Release 2.8.
13196,Next Release Backlog
13197,Store Online Release 2.9
13198,Operations/ELS - In between releases
13199,Store Online Release 2.11
13200,Documentation
13201,DV Store Online Release 2.10
13202,Store Online Release 2.10
13203,Store Online Release 2.13
13204,Store Online DV Release 2.11
13205,TEst1
13206,Store Online Release 2.12 [NA]
13207,Store Online Release 2.12 [IT + GLOBAL]
13208,DV Store Online Release 2.12 [IT + GLOBAL]
13209,DV Store Online Release 2.12 [NA]
13210,DV Release 2.2
13211,DV Release 2.3
13213,Store Online DV Release 2.6
13214,DV Release 2.5
13215,Store Online DV Release 2.7
13216,DV Release 2.8
13217,Store Online DV Release 2.12
13218,Test Folders
